"","Taxa","INC","COLD","plate_num","date","viable","DAY","END","germination","mold","adj_total","force","germ_perc"
"244","Asclepias syriaca","H","C",150,2018-01-01,0,-Inf,0,0,0,20,25,0
"245","Cryptotaenia canadensis","L","C",193,2018-01-01,5,-Inf,0,0,0,20,20,0
"246","Cryptotaenia canadensis","L","C",194,2018-01-01,4,-Inf,0,0,0,20,20,0
"247","Cryptotaenia canadensis","L","C",195,2018-01-01,0,-Inf,0,0,0,20,20,0
"248","Cryptotaenia canadensis","H","C",196,2018-01-01,16,-Inf,0,0,0,19,25,0
"249","Cryptotaenia canadensis","H","C",197,2018-01-01,17,-Inf,0,0,0,18,25,0
"250","Cryptotaenia canadensis","H","C",198,2018-01-01,3,-Inf,0,0,1,4,25,0
"251","Eurbia diviricata","L","C",259,2018-01-01,6,-Inf,0,0,6,12,20,0
"252","Eurbia diviricata","L","C",260,2018-01-01,5,-Inf,0,0,2,14,20,0
"253","Eurbia diviricata","L","C",261,2018-01-01,1,-Inf,0,0,5,10,20,0
"254","Eurbia diviricata","H","C",262,2018-01-01,2,-Inf,0,0,6,12,25,0
"255","Eurbia diviricata","H","C",263,2018-01-01,5,-Inf,0,0,5,12,25,0
"256","Eurbia diviricata","H","C",264,2018-01-01,6,-Inf,0,0,10,7,25,0
"257","Hesperis matronalis","L","C",313,2018-01-01,0,-Inf,0,0,0,20,20,0
"258","Hesperis matronalis","L","C",314,2018-01-01,4,-Inf,0,0,0,20,20,0
"259","Hesperis matronalis","L","C",315,2018-01-01,2,-Inf,0,0,0,20,20,0
"260","Hesperis matronalis","H","C",316,2018-01-01,0,-Inf,0,0,0,20,25,0
"261","Hesperis matronalis","H","C",317,2018-01-01,0,-Inf,0,0,0,20,25,0
"262","Hesperis matronalis","H","C",318,2018-01-01,0,-Inf,0,0,0,20,25,0
"263","Polygonum virginiatum","L","C",391,2018-01-01,15,-Inf,0,0,2,18,20,0
"264","Polygonum virginiatum","L","C",392,2018-01-01,10,-Inf,0,0,1,19,20,0
"265","Polygonum virginiatum","L","C",393,2018-01-01,12,-Inf,0,0,0,20,20,0
"266","Polygonum virginiatum","H","C",394,2018-01-01,18,-Inf,0,0,1,18,25,0
"267","Polygonum virginiatum","H","C",395,2018-01-01,15,-Inf,0,0,0,20,25,0
"268","Polygonum virginiatum","H","C",396,2018-01-01,19,-Inf,0,0,0,20,25,0
"269","Carex grisea","L","C",435,2018-01-01,20,-Inf,0,0,0,20,20,0
"270","Carex grisea","L","C",436,2018-01-01,20,-Inf,0,0,0,20,20,0
"271","Carex grisea","H","C",437,2018-01-01,20,-Inf,0,0,0,20,25,0
"272","Carex grisea","H","C",438,2018-01-01,20,-Inf,0,0,0,20,25,0
"273","Silene vulgaris","L","C",478,2018-01-01,3,-Inf,0,0,0,20,20,0
"274","Silene vulgaris","L","C",479,2018-01-01,1,-Inf,0,0,0,19,20,0
"275","Silene vulgaris","L","C",480,2018-01-01,0,-Inf,0,0,0,20,20,0
"276","Silene vulgaris","H","C",481,2018-01-01,1,-Inf,0,0,0,19,25,0
"277","Silene vulgaris","H","C",482,2018-01-01,1,-Inf,0,0,0,18,25,0
"278","Silene vulgaris","H","C",483,2018-01-01,2,-Inf,0,0,0,20,25,0
"279","Silene stellata","L","C",532,2018-01-01,14,-Inf,0,0,0,20,20,0
"280","Silene stellata","L","C",533,2018-01-01,15,-Inf,0,0,0,21,20,0
"281","Silene stellata","L","C",534,2018-01-01,11,-Inf,0,0,0,18,20,0
"282","Silene stellata","H","C",535,2018-01-01,14,-Inf,0,0,0,19,25,0
"283","Silene stellata","H","C",536,2018-01-01,15,-Inf,0,0,0,18,25,0
"284","Silene stellata","H","C",537,2018-01-01,16,-Inf,0,0,0,18,25,0
"285","Anemone virginana","L","C",586,2018-01-01,1,-Inf,0,0,0,21,20,0
"286","Anemone virginana","L","C",587,2018-01-01,0,-Inf,0,0,2,19,20,0
"287","Anemone virginana","L","C",588,2018-01-01,2,-Inf,0,0,0,21,20,0
"288","Anemone virginana","H","C",589,2018-01-01,0,-Inf,0,0,0,19,25,0
"289","Anemone virginana","H","C",590,2018-01-01,0,-Inf,0,0,0,20,25,0
"290","Anemone virginana","H","C",591,2018-01-01,2,-Inf,0,0,2,18,25,0
"291","Thalictrum dioicum","L","C",640,2018-01-01,4,-Inf,0,0,7,8,20,0
"292","Thalictrum dioicum","L","C",641,2018-01-01,5,-Inf,0,0,5,9,20,0
"293","Thalictrum dioicum","L","C",642,2018-01-01,7,-Inf,0,0,5,10,20,0
"294","Thalictrum dioicum","H","C",643,2018-01-01,8,-Inf,0,0,3,12,25,0
"295","Thalictrum dioicum","H","C",644,2018-01-01,5,-Inf,0,0,5,10,25,0
"296","Thalictrum dioicum","H","C",645,2018-01-01,9,-Inf,0,0,5,10,25,0
"297","Impatiens capensis","L","C",684,2018-01-01,2,-Inf,0,0,8,10,20,0
"298","Impatiens capensis","L","C",685,2018-01-01,2,-Inf,0,0,8,10,20,0
"299","Impatiens capensis","H","C",686,2018-01-01,1,-Inf,0,0,9,10,25,0
"300","Impatiens capensis","H","C",687,2018-01-01,1,-Inf,0,0,9,10,25,0
"301","Phlox cuspidata","H","C",722,2018-01-01,0,-Inf,0,0,0,8,25,0
"302","Phlox cuspidata","H","C",723,2018-01-01,5,-Inf,0,0,0,12,25,0
"303","Phlox cuspidata","L","C",720,2018-01-01,1,-Inf,0,0,0,12,20,0
"304","Phlox cuspidata","L","C",721,2018-01-01,4,-Inf,0,0,0,13,20,0
"305","Oenethera biennis","H","D",103,2018-01-01,3,-Inf,0,0,2,15,25,0
"306","Oenethera biennis","H","D",104,2018-01-01,2,-Inf,0,0,0,18,25,0
"307","Oenethera biennis","H","D",105,2018-01-01,1,-Inf,0,0,1,18,25,0
"308","Oenethera biennis","L","D",106,2018-01-01,1,-Inf,0,0,1,19,20,0
"309","Oenethera biennis","L","D",107,2018-01-01,1,-Inf,0,0,3,16,20,0
"310","Oenethera biennis","L","D",108,2018-01-01,2,-Inf,0,0,2,18,20,0
