"","Taxa","INC","COLD","plate_num","date","DAY","germinated","chill_time","warmT"
"783","Asclepias syriaca","H","0",27,"2018-09-12",16,1,0,25
"784","Asclepias syriaca","L","0",28,"2018-09-12",16,1,0,20
"784.1","Asclepias syriaca","L","0",28,"2018-09-12",16,1,0,20
"784.2","Asclepias syriaca","L","0",28,"2018-09-12",16,1,0,20
"784.3","Asclepias syriaca","L","0",28,"2018-09-12",16,1,0,20
"784.4","Asclepias syriaca","L","0",28,"2018-09-12",16,1,0,20
"789","Carex grayi","H","0",33,"2018-09-12",16,1,0,25
"809","Silene stellata","L","0",53,"2018-09-12",16,1,0,20
"812","Silene vulgaris","H","0",56,"2018-09-12",16,1,0,25
"812.1","Silene vulgaris","H","0",56,"2018-09-12",16,1,0,25
"813","Silene vulgaris","H","0",57,"2018-09-12",16,1,0,25
"820","Eurbia diviricata","L","0",64,"2018-09-12",16,1,0,20
"821","Eurbia diviricata","L","0",65,"2018-09-12",16,1,0,20
"829","Anemone virginana","H","0",73,"2018-09-12",16,1,0,25
"829.1","Anemone virginana","H","0",73,"2018-09-12",16,1,0,25
"830","Anemone virginana","H","0",74,"2018-09-12",16,1,0,25
"830.1","Anemone virginana","H","0",74,"2018-09-12",16,1,0,25
"830.2","Anemone virginana","H","0",74,"2018-09-12",16,1,0,25
"830.3","Anemone virginana","H","0",74,"2018-09-12",16,1,0,25
"830.4","Anemone virginana","H","0",74,"2018-09-12",16,1,0,25
"830.5","Anemone virginana","H","0",74,"2018-09-12",16,1,0,25
"831","Anemone virginana","H","0",75,"2018-09-12",16,1,0,25
"831.1","Anemone virginana","H","0",75,"2018-09-12",16,1,0,25
"831.2","Anemone virginana","H","0",75,"2018-09-12",16,1,0,25
"831.3","Anemone virginana","H","0",75,"2018-09-12",16,1,0,25
"831.4","Anemone virginana","H","0",75,"2018-09-12",16,1,0,25
"832","Anemone virginana","L","0",76,"2018-09-12",16,1,0,20
"832.1","Anemone virginana","L","0",76,"2018-09-12",16,1,0,20
"832.2","Anemone virginana","L","0",76,"2018-09-12",16,1,0,20
"833","Anemone virginana","L","0",77,"2018-09-12",16,1,0,20
"833.1","Anemone virginana","L","0",77,"2018-09-12",16,1,0,20
"833.2","Anemone virginana","L","0",77,"2018-09-12",16,1,0,20
"833.3","Anemone virginana","L","0",77,"2018-09-12",16,1,0,20
"833.4","Anemone virginana","L","0",77,"2018-09-12",16,1,0,20
"834","Anemone virginana","L","0",78,"2018-09-12",16,1,0,20
"834.1","Anemone virginana","L","0",78,"2018-09-12",16,1,0,20
"834.2","Anemone virginana","L","0",78,"2018-09-12",16,1,0,20
"834.3","Anemone virginana","L","0",78,"2018-09-12",16,1,0,20
"834.4","Anemone virginana","L","0",78,"2018-09-12",16,1,0,20
"849","Cryptotaenia canadensis","H","0",9,"2018-09-14",18,1,0,25
"868","Asclepias syriaca","L","0",28,"2018-09-14",18,1,0,20
"868.1","Asclepias syriaca","L","0",28,"2018-09-14",18,1,0,20
"869","Asclepias syriaca","L","0",29,"2018-09-14",18,1,0,20
"895","Silene vulgaris","H","0",55,"2018-09-14",18,1,0,25
"896","Silene vulgaris","H","0",56,"2018-09-14",18,1,0,25
"913","Anemone virginana","H","0",73,"2018-09-14",18,1,0,25
"914","Anemone virginana","H","0",74,"2018-09-14",18,1,0,25
"914.1","Anemone virginana","H","0",74,"2018-09-14",18,1,0,25
"914.2","Anemone virginana","H","0",74,"2018-09-14",18,1,0,25
"914.3","Anemone virginana","H","0",74,"2018-09-14",18,1,0,25
"915","Anemone virginana","H","0",75,"2018-09-14",18,1,0,25
"916","Anemone virginana","L","0",76,"2018-09-14",18,1,0,20
"916.1","Anemone virginana","L","0",76,"2018-09-14",18,1,0,20
"916.2","Anemone virginana","L","0",76,"2018-09-14",18,1,0,20
"916.3","Anemone virginana","L","0",76,"2018-09-14",18,1,0,20
"917","Anemone virginana","L","0",77,"2018-09-14",18,1,0,20
"917.1","Anemone virginana","L","0",77,"2018-09-14",18,1,0,20
"917.2","Anemone virginana","L","0",77,"2018-09-14",18,1,0,20
"917.3","Anemone virginana","L","0",77,"2018-09-14",18,1,0,20
"917.4","Anemone virginana","L","0",77,"2018-09-14",18,1,0,20
"918","Anemone virginana","L","0",78,"2018-09-14",18,1,0,20
"918.1","Anemone virginana","L","0",78,"2018-09-14",18,1,0,20
"918.2","Anemone virginana","L","0",78,"2018-09-14",18,1,0,20
"918.3","Anemone virginana","L","0",78,"2018-09-14",18,1,0,20
"941","Hesperis matronalis","L","0",17,"2018-09-16",20,1,0,20
"954","Asclepias syriaca","L","0",30,"2018-09-16",20,1,0,20
"954.1","Asclepias syriaca","L","0",30,"2018-09-16",20,1,0,20
