,chill_time,force,scenario,Estimate,Est.Error,Q2.5,Q97.5,Taxa,germination,fresh,germinated,seedbank
122,15.18130764,1,warming,0.016319072,0.007041767,0.006080209,0.032772688,P.virginiatum,<20%,220.5875749,3.599784426,216.9877904
123,28.28073443,1,warming,0.079259989,0.019997795,0.044829959,0.122579324,P.virginiatum,<20%,316.9877904,25.12444884,291.8633416
124,2.213581555,1,warming,0.003328135,0.002077614,0.000811223,0.008337423,P.virginiatum,<20%,391.8633416,1.304173915,390.5591677
125,19.82371249,1,warming,0.028785588,0.010547319,0.012464879,0.053036378,P.virginiatum,<20%,490.5591677,14.12103394,476.4381337
126,29.58383859,1,warming,0.092201315,0.021706088,0.05425088,0.138762934,P.virginiatum,<20%,576.4381337,53.14835422,523.2897795
127,58.18711381,1,warming,0.800978814,0.033627756,0.730864695,0.860308947,P.virginiatum,>80%,623.2897795,499.2419083,124.0478712
128,63.46906117,1,warming,0.887489245,0.026640802,0.829303355,0.932062439,P.virginiatum,>80%,224.0478712,198.8400759,25.20779525
129,17.02696948,1,warming,0.020458771,0.008294493,0.008088283,0.039853059,P.virginiatum,<20%,125.2077952,2.561597615,122.6461976
130,81.5268825,1,warming,0.986984648,0.006431776,0.971364717,0.995652827,P.virginiatum,>80%,222.6461976,219.748379,2.897818593
131,75.08999809,1,warming,0.971471266,0.011399938,0.944695189,0.988035763,P.virginiatum,>80%,102.8978186,99.96227411,2.935544486
132,55.55229467,1,warming,0.741675592,0.035800353,0.668229969,0.807692048,P.virginiatum,50-80%,102.9355445,76.3447809,26.59076359
133,25.29192208,1,warming,0.055689917,0.016254164,0.028771244,0.091347675,P.virginiatum,<20%,126.5907636,7.049829096,119.5409345
134,71.58013019,1,warming,0.956419158,0.015223277,0.921637705,0.979633195,P.virginiatum,>80%,219.5409345,209.9731556,9.567778855
135,17.94507275,1,warming,0.022889666,0.008985373,0.009336211,0.043865994,P.virginiatum,<20%,109.5677789,2.507969812,107.059809
136,41.69407728,1,warming,0.324055038,0.03355703,0.259347287,0.390434835,P.virginiatum,20-50%,207.059809,67.09877434,139.9610347
137,32.38583811,1,warming,0.126711901,0.025362233,0.080935435,0.180051002,P.virginiatum,<20%,239.9610347,30.40591897,209.5551157
138,49.05240408,1,warming,0.553936584,0.036164021,0.481657787,0.624418379,P.virginiatum,50-80%,309.5551157,171.4739034,138.0812123
139,71.61400843,1,warming,0.956595962,0.015182412,0.92190368,0.979743487,P.virginiatum,>80%,238.0812123,227.7475265,10.33368589
140,3.114092737,1,warming,0.003715438,0.002267221,0.000932386,0.009168131,P.virginiatum,<20%,110.3336859,0.409937999,109.9237479
141,36.63986867,1,warming,0.200045941,0.030170782,0.143884429,0.262105918,P.virginiatum,20-50%,209.9237479,41.99439368,167.9293542
142,115.3288128,1,warming,0.99978123,0.00023943,0.99917906,0.999978587,P.virginiatum,>80%,267.9293542,267.8707393,0.058614898
143,47.59938525,1,warming,0.507151557,0.035669372,0.436881219,0.576322369,P.virginiatum,50-80%,100.0586149,50.74488237,49.31373253
144,60.84168308,1,warming,0.849579026,0.030412015,0.784328625,0.901612641,P.virginiatum,>80%,149.3137325,126.8538154,22.45991715
145,21.31023344,1,warming,0.034485343,0.01192889,0.01569521,0.061400397,P.virginiatum,<20%,122.4599171,4.223072221,118.2368449
146,35.32220496,1,warming,0.174369181,0.028839877,0.12115812,0.233639928,P.virginiatum,<20%,218.2368449,38.05377993,180.183065
147,47.21872783,1,warming,0.494836884,0.035534322,0.425234618,0.563743872,P.virginiatum,20-50%,280.183065,138.6449149,141.5381501
148,82.73097855,1,warming,0.98876672,0.005754405,0.974775906,0.99640566,P.virginiatum,>80%,241.5381501,238.8248843,2.713265782
149,77.58978095,1,warming,0.97895027,0.00917619,0.956970302,0.991934747,P.virginiatum,>80%,102.7132658,100.5511793,2.162086523
150,32.84031336,1,warming,0.133269315,0.025934945,0.086139576,0.187834754,P.virginiatum,<20%,102.1620865,13.61507131,88.54701521
151,60.73248528,1,warming,0.847792416,0.030559232,0.782429251,0.900114998,P.virginiatum,>80%,188.5470152,159.8487295,28.69828566
152,17.34603689,1,warming,0.02127317,0.008529341,0.008483816,0.041163896,P.virginiatum,<20%,128.6982857,2.737820481,125.9604652
153,41.22697392,1,warming,0.310988526,0.033347999,0.247111884,0.377205049,P.virginiatum,20-50%,225.9604652,70.27111211,155.6893531
154,29.82885893,1,warming,0.0948405,0.022029146,0.056270696,0.14211258,P.virginiatum,<20%,255.6893531,24.2497061,231.439647
