year,imput_new,germ_perc,seedbank,scenario,species
21,328.6833713,0.419141581,190.9185034,Cc,C.canadensis
22,290.9185034,0.106914896,259.814982,Cc,C.canadensis
23,359.814982,0.188886142,291.8509181,Cc,C.canadensis
24,391.8509181,0.058577689,368.8971971,Cc,C.canadensis
25,468.8971971,0.131547425,407.2149782,Cc,C.canadensis
26,507.2149782,0.199274777,406.1398267,Cc,C.canadensis
27,506.1398267,0.518659337,243.6256797,Cc,C.canadensis
28,343.6256797,0.585530527,142.4223543,Cc,C.canadensis
29,242.4223543,0.116174433,214.2590746,Cc,C.canadensis
30,314.2590746,0.78023517,69.06309226,Cc,C.canadensis
31,169.0630923,0.719004574,47.50595568,Cc,C.canadensis
32,147.5059557,0.484868066,75.98502825,Cc,C.canadensis
33,175.9850283,0.166662256,146.6549665,Cc,C.canadensis
34,246.6549665,0.681453988,78.57095597,Cc,C.canadensis
35,178.570956,0.121038467,156.9570012,Cc,C.canadensis
36,256.9570012,0.316125389,175.7263692,Cc,C.canadensis
37,275.7263692,0.223072436,214.2194162,Cc,C.canadensis
38,314.2194162,0.402705392,187.6815631,Cc,C.canadensis
39,287.6815631,0.681829399,91.53181594,Cc,C.canadensis
40,191.5318159,0.061126874,179.8240748,Cc,C.canadensis
41,279.8240748,0.263001082,206.2300402,Cc,C.canadensis
42,306.2300402,0.951101474,14.97419746,Cc,C.canadensis
43,114.9741975,0.384905789,70.71996323,Cc,C.canadensis
44,170.7199632,0.552515338,76.394565,Cc,C.canadensis
45,176.394565,0.140410793,151.6268643,Cc,C.canadensis
46,251.6268643,0.250149355,188.6825665,Cc,C.canadensis
47,288.6825665,0.380291677,178.8989892,Cc,C.canadensis
48,278.8989892,0.790537489,58.4188826,Cc,C.canadensis
49,158.4188826,0.743999091,40.55537788,Cc,C.canadensis
50,140.5553779,0.227120618,108.6323535,Cc,C.canadensis
51,208.6323535,0.551130459,93.64870879,Cc,C.canadensis
52,193.6487088,0.117845016,170.8281735,Cc,C.canadensis
53,270.8281735,0.310973578,186.6077673,Cc,C.canadensis
54,286.6077673,0.201276114,228.9204697,Cc,C.canadensis
55,328.9204697,0.805476015,63.98292066,Cc,C.canadensis
56,163.9829207,0.282970436,117.5806021,Cc,C.canadensis
57,217.5806021,0.631658889,80.14388072,Cc,C.canadensis
58,180.1438807,0.378939039,111.8803318,Cc,C.canadensis
59,211.8803318,0.47771171,110.6626162,Cc,C.canadensis
60,210.6626162,0.746620529,53.37758235,Cc,C.canadensis
61,153.3775824,0.74902791,38.49349241,Cc,C.canadensis
62,138.4934924,0.205135647,110.0835402,Cc,C.canadensis
63,210.0835402,0.087035518,191.7988105,Cc,C.canadensis
64,291.7988105,0.566860941,126.3894621,Cc,C.canadensis
65,226.3894621,0.70998034,65.6573948,Cc,C.canadensis
66,165.6573948,0.044630775,158.2639769,Cc,C.canadensis
67,258.2639769,0.489076214,131.9532088,Cc,C.canadensis
68,231.9532088,0.169081663,192.7341746,Cc,C.canadensis
69,292.7341746,0.524171715,139.2912002,Cc,C.canadensis
70,239.2912002,0.575083778,101.6787127,Cc,C.canadensis
71,201.6787127,0.73662963,53.11619719,Cc,C.canadensis
72,153.1161972,0.167003171,127.5453068,Cc,C.canadensis
73,227.5453068,0.09631592,205.6290711,Cc,C.canadensis
74,305.6290711,0.586628516,126.3383426,Cc,C.canadensis
75,226.3383426,0.475101167,118.8047318,Cc,C.canadensis
76,218.8047318,0.213188228,172.1581387,Cc,C.canadensis
